node,lineage_dNdS
ajXP_053514825_1,0.1000699755956067
drXP_045052469_2,0.1043660713282613
lcg45741_t1,0.08459565562557622
mag56686_t1,0.07902118119509406
mbXP_014389040_1,0.1734155076036227
mdXP_059534255_1,0.07536443002067705
meg32967_t1,0.08503583235228551
miKAM7048458_1,0.1211649811461419
mlXP_023604683_1,0.07657724303121698
mmXP_036211601_1,0.0885772687200644
mnXP_016053225_1,0.09955970876015995
moXP_036133937_1,0.1286456545358021
msg29527_t1,0.09324719437118807
mvg14428_t1,0.08046021144212114
myXP_070256861_1,0.07669222305203485
nlg44661_t1,0.07676261590040129
paXP_024906102_1,0.07552697509433763
pdXP_035869052_1,0.08431176427812904
pgXP_039714235_1,0.08903568675282456
phXP_045680680_1,0.08165713246305645
pkXP_036267715_1,0.07231169239310214
pnCAK6442442_1,0.07497813124376723
ppg43526_t1,0.07982136196669028
pug28468_t1,0.1043733945528806
pvXP_011377965_1,0.07585452057724434
raXP_016007097_2,0.09076960066984141
rfXP_032955963_1,0.09497261473430539
rhg37129_t1,0.1086775666111819
rsXP_019582311_2,0.08194233984982693
sbXP_066096405_1,0.140147614897852
