node,lineage_dNdS
ajXP_037021646_2,0.6447662797556627
drXP_024407147_2,0.6348125756531185
lcg2410_t1,0.4301411447816579
mag2668_t1,0.5114870184859704
mbXP_005876657_1,0.6126966407371552
mdXP_059566936_1,0.4461658860560749
meg1723_t1,0.4609160486663674
miKAM7158696_1,0.417528191746832
mlXP_006085874_2,0.6367110539318346
mmXP_036208711_1,0.4530010099877727
mnXP_016053937_1,0.4176051040271159
moXP_036132310_1,0.4166305421979349
msg1727_t1,0.5177808546760386
mvg29834_t1,0.5723989262646264
myXP_070263421_1,0.5730938085072733
nlg3721_t1,0.5609002211426517
paXP_006913548_1,0.2247610398021484
pdXP_028363198_1,0.6345346129052083
pgXP_039712472_1,0.2605346740940629
phXP_045704658_1,0.6242802011450056
pkXP_036308289_1,0.568570910661911
pnCAK6432613_1,0.5309327725367528
ppg3132_t1,0.5453045701589851
pug1404_t1,0.5138825467356465
pvXP_011375432_1,0.2500586124523693
raXP_015994075_2,0.3330561863057511
rfXP_032965580_1,0.460152753814045
rhg6641_t1,0.5508874978874403
rsXP_019569196_2,0.3823897183445119
sbXP_066133900_1,0.4217640187447324
