node,lineage_dNdS
ajXP_037010567_1,0.157669641630653
drXP_024409158_2,0.1817714527838034
lcg18142_t1,0.1932538172278176
mag18797_t1,0.2216963131202972
mbXP_014392669_1,0.261360957921516
mdXP_059548810_1,0.2277709559938384
meg11775_t1,0.2061276370900126
miKAM7149583_1,0.1523782909574679
mlXP_006090523_1,0.2218300577945381
mmXP_036166461_1,0.2286638594424777
mnXP_016066892_1,0.2377179624638782
moXP_036136823_1,0.166315703746212
msg9678_t1,0.1932583431560765
mvg5019_t1,0.1976270815441022
myXP_070269275_1,0.2297942578839609
nlg13666_t1,0.1523530180742155
paXP_006914247_1,0.1158884766868245
pdXP_028383605_1,0.1820078086247887
pgXP_039741040_1,0.1251855393348885
phXP_045676835_1,0.1877901843306789
pkXP_036265755_1,0.1594814869633906
pnCAK6444763_1,0.1505664915781516
ppg13451_t1,0.1534650377100727
pug16789_t1,0.1959579317220133
pvXP_011374871_1,0.1354212015641592
raXP_015977739_1,0.1396926140618047
rfXP_032957016_1,0.2542786829928477
rhg36464_t1,0.2531575224747774
rsXP_074178939_1,0.2340952891327377
sbXP_066131224_1,0.1564057999971122
